model_type_cell_line,model_type_organoid,model_type_total,release,provider,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_mut,molecular_data_points_total,model_type_pdx,sample_type_xenograft,sample_type_total,sample_type_patient,model_type_other,sample_type_cell
1508,9,1517,PDCM_DR_v2.0,CMP,,,,,,,,,,,
1508,9,2057,PDCM_DR_v2.0,CRL,438,21105072,39427529,3382462,63915501,540,2565,2565,,,
1508,9,2062,PDCM_DR_v2.0,Curie-BC,15,0,0,0,15,545,15,15,,,
1508,9,2068,PDCM_DR_v2.0,Curie-LC,12,89123,0,501,89636,551,23,23,,,
1508,9,2073,PDCM_DR_v2.0,Curie-OC,0,0,0,0,0,556,0,0,,,
1508,9,2808,PDCM_DR_v2.0,DFCI-CPDM,0,0,0,0,0,1291,0,0,,,
1508,9,2875,PDCM_DR_v2.0,HCI-BCM,105,0,0,0,105,1358,2,35,33,,
1558,111,3045,PDCM_DR_v2.0,HCMI,0,0,0,35733,35733,1358,0,80,0,18,80
1558,111,3684,PDCM_DR_v2.0,IRCC-CRC,0,20850,5044592,26143,5091585,1997,2036,2098,62,18,0
1558,111,3760,PDCM_DR_v2.0,IRCC-GC,0,11809,0,21193,33002,2073,227,227,0,18,0
1558,111,4187,PDCM_DR_v2.0,JAX,0,147915,206523,135160,489598,2500,4252,4252,0,18,0
1558,111,4227,PDCM_DR_v2.0,LIH,6,137715,0,111,137832,2540,51,51,0,18,0
1558,111,4542,PDCM_DR_v2.0,MDAnderson,0,0,0,0,0,2855,0,0,0,18,0
1558,111,4549,PDCM_DR_v2.0,NKI,21,255864,1229016,393427,1878328,2862,58,121,63,18,0
1558,111,5111,PDCM_DR_v2.0,PDMR,0,0,0,18314,18314,3424,2699,3003,304,18,0
1558,111,5372,PDCM_DR_v2.0,PIVOT,0,8102556,8119999,42780,16265335,3685,0,2176,2176,18,0
1558,111,5795,PDCM_DR_v2.0,PMLB,0,3148113,0,311646,3459759,4108,839,1019,180,18,0
1558,111,5965,PDCM_DR_v2.0,SJCRH,0,0,0,0,0,4278,0,0,0,18,0
1558,111,5996,PDCM_DR_v2.0,TRACE,94,0,0,10,104,4309,13,31,18,18,0
1558,111,6004,PDCM_DR_v2.0,UMCG,0,0,0,0,0,4317,0,0,0,18,0
1558,111,6063,PDCM_DR_v2.0,UOC-BC,240,1020326,595188,9465,1625219,4376,175,326,151,18,0
1558,111,6075,PDCM_DR_v2.0,UOM-BC,102,0,402940,204,403246,4388,41,53,12,18,0
1558,111,6082,PDCM_DR_v2.0,VHIO-BC,23,0,0,0,23,4395,7,9,2,18,0
1558,111,6156,PDCM_DR_v2.0,VHIO-CRC,0,0,0,303,303,4469,4,4,0,18,0
1558,111,6199,PDCM_DR_v2.0,VHIO-PC,0,0,0,0,0,4512,0,0,0,18,0
1558,111,6318,PDCM_DR_v2.0,WUSTL,0,0,0,0,0,4631,0,0,0,18,0
1558,111,6575,PDCM_DR_v2.0,Wistar-MDAnderson-Penn,0,0,0,0,0,4888,0,0,0,18,0
