molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_total,release,provider,molecular_data_cna,molecular_data_expression,model_type_pdx,sample_type_patient,molecular_data_biomarker,sample_type_xenograft
26578,26578,50,23,18,91,42,42,PDCM_DR_v5.1,BROD,,,,,,
15432,5747032,50,23,18,181,0,802,PDCM_DR_v5.1,CCIA,2861617,2869983,90,802,,
4841,2258841,50,23,18,216,0,315,PDCM_DR_v5.1,CHOP,1125355,1128645,125,315,,
809824,25317089,1559,64,18,1766,7956,7956,PDCM_DR_v5.1,CMP,12583720,11923545,125,0,,
3382462,63915501,1559,64,18,2306,0,2565,PDCM_DR_v5.1,CRL,21105072,39427529,665,0,438,2565
9155,9155,1559,118,18,2360,38,38,PDCM_DR_v5.1,CSHL,0,0,665,0,0,0
1287,14525,1559,150,18,2392,288,288,PDCM_DR_v5.1,CUIMC,13206,0,665,0,32,0
87,158,1559,165,18,2441,0,252,PDCM_DR_v5.1,Curie-BC,0,0,699,0,71,252
501,89636,1559,165,18,2447,0,23,PDCM_DR_v5.1,Curie-LC,89123,0,705,0,12,23
0,0,1559,165,18,2452,0,0,PDCM_DR_v5.1,Curie-OC,0,0,710,0,0,0
0,0,1559,165,18,3187,0,0,PDCM_DR_v5.1,DFCI-CPDM,0,0,1445,0,0,0
11193,5034393,1559,165,18,3268,0,700,PDCM_DR_v5.1,GCCRI,2507934,2515266,1526,700,0,0
0,105,1559,165,18,3335,0,35,PDCM_DR_v5.1,HCI-BCM,0,0,1593,33,105,2
0,0,1559,199,18,3369,0,0,PDCM_DR_v5.1,HKU,0,0,1593,0,0,0
26143,5082393,1559,199,18,4008,0,1752,PDCM_DR_v5.1,IRCC-CRC,11658,5044592,2232,39,0,1713
21193,33002,1559,199,18,4084,0,227,PDCM_DR_v5.1,IRCC-GC,11809,0,2308,0,0,227
135160,490190,1559,199,18,4511,0,8300,PDCM_DR_v5.1,JAX,147915,206523,2735,0,592,8300
204,677222,1559,199,18,4556,0,111,PDCM_DR_v5.1,LIH,137715,539297,2780,0,6,111
10329,2708884,1559,199,18,4603,0,292,PDCM_DR_v5.1,LurieChildrens,1350426,1348129,2827,292,0,0
0,0,1559,199,18,4919,0,0,PDCM_DR_v5.1,MDAnderson,0,0,3143,0,0,0
985,516185,1559,199,18,4927,0,67,PDCM_DR_v5.1,MDAnderson-CCH,257224,257976,3151,67,0,0
393427,1878328,1559,199,18,4934,0,121,PDCM_DR_v5.1,NKI,255864,1229016,3158,63,21,58
18743,12583466,1782,426,18,6065,1114,4225,PDCM_DR_v5.1,PDMR,0,12564723,3839,207,0,2904
311646,3459759,1782,426,18,6488,0,1019,PDCM_DR_v5.1,PMLB,3148113,0,4262,180,0,839
0,0,1782,678,18,6740,0,0,PDCM_DR_v5.1,PMLB-Organoid,0,0,4262,0,0,0
0,0,1782,703,18,6765,0,0,PDCM_DR_v5.1,SANG,0,0,4262,0,0,0
0,585,1782,703,18,6935,0,195,PDCM_DR_v5.1,SJCRH,0,0,4432,0,585,195
10,104,1782,703,18,6966,0,31,PDCM_DR_v5.1,TRACE,0,0,4463,18,94,13
0,0,1782,703,18,6993,0,0,PDCM_DR_v5.1,UCD,0,0,4490,0,0,0
0,0,1782,703,18,7001,0,0,PDCM_DR_v5.1,UMCG,0,0,4498,0,0,0
9465,1625219,1782,703,18,7060,0,326,PDCM_DR_v5.1,UOC-BC,1020326,595188,4557,151,240,175
204,403246,1782,703,18,7072,0,53,PDCM_DR_v5.1,UOM-BC,0,402940,4569,12,102,41
0,23,1782,703,18,7079,0,9,PDCM_DR_v5.1,VHIO-BC,0,0,4576,2,23,7
303,303,1782,703,18,7153,0,4,PDCM_DR_v5.1,VHIO-CRC,0,0,4650,0,0,4
0,0,1782,703,18,7196,0,0,PDCM_DR_v5.1,VHIO-PC,0,0,4693,0,0,0
0,0,1782,703,18,7315,0,0,PDCM_DR_v5.1,WUSTL,0,0,4812,0,0,0
0,0,1782,703,18,7572,0,0,PDCM_DR_v5.1,Wistar-MDAnderson-Penn,0,0,5069,0,0,0
