molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_total,release,provider,molecular_data_cna,molecular_data_expression,model_type_pdx,sample_type_patient,molecular_data_biomarker,sample_type_xenograft
26578,26578,50,23,18,91,42,42,PDCM_DR_v3.0,BROD,,,,,,
15432,5747032,50,23,18,181,0,802,PDCM_DR_v3.0,CCIA,2861617,2869983,90,802,,
4841,2258841,50,23,18,216,0,315,PDCM_DR_v3.0,CHOP,1125355,1128645,125,315,,
809824,25317089,1559,60,18,1762,7956,7956,PDCM_DR_v3.0,CMP,12583720,11923545,125,0,,
3382462,63915501,1559,60,18,2302,0,2565,PDCM_DR_v3.0,CRL,21105072,39427529,665,0,438,2565
9155,9155,1559,114,18,2356,38,38,PDCM_DR_v3.0,CSHL,0,0,665,0,0,0
0,15,1559,114,18,2361,0,15,PDCM_DR_v3.0,Curie-BC,0,0,670,0,15,15
501,89636,1559,114,18,2367,0,23,PDCM_DR_v3.0,Curie-LC,89123,0,676,0,12,23
0,0,1559,114,18,2372,0,0,PDCM_DR_v3.0,Curie-OC,0,0,681,0,0,0
0,0,1559,114,18,3107,0,0,PDCM_DR_v3.0,DFCI-CPDM,0,0,1416,0,0,0
11193,5034393,1559,114,18,3188,0,700,PDCM_DR_v3.0,GCCRI,2507934,2515266,1497,700,0,0
0,105,1559,114,18,3255,0,35,PDCM_DR_v3.0,HCI-BCM,0,0,1564,33,105,2
26143,5082393,1559,114,18,3894,0,1752,PDCM_DR_v3.0,IRCC-CRC,11658,5044592,2203,39,0,1713
21193,33002,1559,114,18,3970,0,227,PDCM_DR_v3.0,IRCC-GC,11809,0,2279,0,0,227
135160,489598,1559,114,18,4397,0,4252,PDCM_DR_v3.0,JAX,147915,206523,2706,0,0,4252
111,137832,1559,114,18,4437,0,51,PDCM_DR_v3.0,LIH,137715,0,2746,0,6,51
10329,2708884,1559,114,18,4484,0,292,PDCM_DR_v3.0,LurieChildrens,1350426,1348129,2793,292,0,0
0,0,1559,114,18,4799,0,0,PDCM_DR_v3.0,MDAnderson,0,0,3108,0,0,0
985,516185,1559,114,18,4807,0,67,PDCM_DR_v3.0,MDAnderson-CCH,257224,257976,3116,67,0,0
393427,1878328,1559,114,18,4814,0,121,PDCM_DR_v3.0,NKI,255864,1229016,3123,63,21,58
18743,18743,1782,341,18,5945,224,3335,PDCM_DR_v3.0,PDMR,0,0,3804,207,0,2904
311646,3459759,1782,341,18,6368,0,1019,PDCM_DR_v3.0,PMLB,3148113,0,4227,180,0,839
0,0,1782,366,18,6393,0,0,PDCM_DR_v3.0,SANG,0,0,4227,0,0,0
0,0,1782,366,18,6563,0,0,PDCM_DR_v3.0,SJCRH,0,0,4397,0,0,0
10,104,1782,366,18,6594,0,31,PDCM_DR_v3.0,TRACE,0,0,4428,18,94,13
0,0,1782,366,18,6602,0,0,PDCM_DR_v3.0,UMCG,0,0,4436,0,0,0
9465,1625219,1782,366,18,6661,0,326,PDCM_DR_v3.0,UOC-BC,1020326,595188,4495,151,240,175
204,403246,1782,366,18,6673,0,53,PDCM_DR_v3.0,UOM-BC,0,402940,4507,12,102,41
0,23,1782,366,18,6680,0,9,PDCM_DR_v3.0,VHIO-BC,0,0,4514,2,23,7
303,303,1782,366,18,6754,0,4,PDCM_DR_v3.0,VHIO-CRC,0,0,4588,0,0,4
0,0,1782,366,18,6797,0,0,PDCM_DR_v3.0,VHIO-PC,0,0,4631,0,0,0
0,0,1782,366,18,6916,0,0,PDCM_DR_v3.0,WUSTL,0,0,4750,0,0,0
0,0,1782,366,18,7173,0,0,PDCM_DR_v3.0,Wistar-MDAnderson-Penn,0,0,5007,0,0,0
