image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,treatment_data_points,model_type_pdx,sample_type_xenograft,drug_data_points
268,94,8972204,9644940,110,57387,18675003,107,94,30,231,1544,82,1626,PDCM_DR_v6.2,BROD,,,,
0,0,2861617,2869983,0,15432,5747668,107,94,30,321,0,802,802,PDCM_DR_v6.2,CCIA,636,90,,
0,0,1125355,1128645,0,4841,2259477,107,94,30,356,0,315,315,PDCM_DR_v6.2,CHOP,636,125,,
1315,0,46287642,55552696,12000,8438332,110291985,1995,138,30,2288,120319,0,120319,PDCM_DR_v6.2,CMP,0,125,,
1550,438,21105072,39427529,1554,3382462,63918683,1995,138,30,2828,0,0,3741,PDCM_DR_v6.2,CRL,78,665,3741,
197,239,7153514,6308640,248,24779,13487617,1995,359,30,3049,2149,66,2215,PDCM_DR_v6.2,CSHL,0,665,0,
0,0,13206,446736,160,1287,461389,1995,391,30,3081,1688,0,1688,PDCM_DR_v6.2,CUIMC,0,665,0,
0,71,424764,0,0,32,425189,1995,406,30,3130,0,0,213,PDCM_DR_v6.2,Curie-BC,155,699,213,167
0,12,89123,0,0,495,89643,1995,406,30,3136,0,0,23,PDCM_DR_v6.2,Curie-LC,0,705,23,13
0,0,0,0,0,0,0,1995,406,30,3141,0,0,0,PDCM_DR_v6.2,Curie-OC,0,710,0,0
0,0,0,0,213,0,3727,1995,406,30,3876,0,0,71,PDCM_DR_v6.2,DFCI-CPDM,0,1445,71,3514
0,0,1639803,1644597,0,7007,3293307,1995,406,30,3930,0,466,466,PDCM_DR_v6.2,GCCRI,1900,1499,0,0
163,336,0,0,0,4335,5459,1995,406,30,4040,0,70,191,PDCM_DR_v6.2,HCI-BCM,615,1609,121,10
0,0,0,0,0,0,0,1995,440,30,4074,0,0,0,PDCM_DR_v6.2,HKU,0,1609,0,0
0,0,11658,5044592,0,25887,5082687,1995,440,30,4713,0,39,1752,PDCM_DR_v6.2,IRCC-CRC,0,2248,1713,550
0,0,11809,0,0,17418,29247,1995,440,30,4789,0,0,226,PDCM_DR_v6.2,IRCC-GC,20,2324,226,0
2680,0,147915,206523,1480,135105,494106,1995,440,30,5216,0,0,18736,PDCM_DR_v6.2,JAX,0,2751,18736,403
0,6,137715,1494257,0,117,1632135,1995,440,30,5261,0,0,148,PDCM_DR_v6.2,LIH,40,2796,148,0
0,0,1350426,1348129,0,10329,2708884,1995,440,30,5308,0,292,292,PDCM_DR_v6.2,LurieChildrens,0,2843,0,0
0,0,0,0,0,0,0,1995,440,30,5624,0,0,0,PDCM_DR_v6.2,MDAnderson,0,3159,0,0
0,0,1061049,1064151,0,5171,2130928,1995,440,30,5659,0,289,289,PDCM_DR_v6.2,MDAnderson-CCH,557,3194,0,0
0,21,255864,1229016,0,393427,1878328,1995,440,30,5666,0,63,121,PDCM_DR_v6.2,NKI,0,3201,58,0
0,0,0,121936842,4080,18743,121960955,2218,667,30,6797,21141,9357,42703,PDCM_DR_v6.2,PDMR,1290,3882,12205,0
0,0,3148113,0,0,311346,3459459,2218,667,30,7220,0,179,1018,PDCM_DR_v6.2,PMLB,0,4305,839,0
0,0,0,0,0,0,0,2218,919,30,7472,0,0,0,PDCM_DR_v6.2,PMLB-Organoid,0,4305,0,0
103,123,5213578,3882240,105,20120,9116269,2218,1035,30,7588,998,18,1016,PDCM_DR_v6.2,SANG,0,4305,0,0
796,0,28,0,678,527307,528809,2218,1035,30,7874,0,67,2007,PDCM_DR_v6.2,SJCRH,0,4591,1940,0
0,94,0,0,0,10,192,2218,1035,30,7905,0,18,31,PDCM_DR_v6.2,TRACE,80,4622,13,8
0,0,0,0,0,0,0,2218,1035,30,7932,0,0,0,PDCM_DR_v6.2,UCD,0,4649,0,0
0,0,0,0,0,0,0,2218,1035,30,7940,0,0,0,PDCM_DR_v6.2,UMCG,0,4657,0,0
0,240,1020326,595188,0,7994,1623858,2218,1035,30,7999,0,151,326,PDCM_DR_v6.2,UOC-BC,110,4716,175,0
0,102,0,402940,0,204,403286,2218,1035,30,8011,0,12,53,PDCM_DR_v6.2,UOM-BC,40,4728,41,0
0,23,0,0,0,0,23,2218,1035,30,8018,0,2,9,PDCM_DR_v6.2,VHIO-BC,0,4735,7,0
0,0,0,0,0,299,299,2218,1035,30,8092,0,0,4,PDCM_DR_v6.2,VHIO-CRC,0,4809,4,0
0,0,0,0,0,0,0,2218,1035,30,8135,0,0,0,PDCM_DR_v6.2,VHIO-PC,0,4852,0,0
22,25,545607,727920,15,5383,1278972,2218,1050,30,8150,147,6,153,PDCM_DR_v6.2,WCMC,0,4852,0,0
0,0,0,0,0,0,0,2218,1050,30,8269,0,0,0,PDCM_DR_v6.2,WUSTL,0,4971,0,0
0,0,0,0,0,0,0,2218,1050,30,8526,0,0,0,PDCM_DR_v6.2,Wistar-MDAnderson-Penn,0,5228,0,0
