molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,model_type_pdx,sample_type_xenograft
94,8972204,9644940,110,57387,18674735,107,94,30,231,1544,82,1626,PDCM_DR_v6.1,BROD,,
0,2861617,2869983,0,15432,5747032,107,94,30,321,0,802,802,PDCM_DR_v6.1,CCIA,90,
0,1125355,1128645,0,4841,2258841,107,94,30,356,0,315,315,PDCM_DR_v6.1,CHOP,125,
0,46287642,55552696,12000,8438332,110290670,1995,138,30,2288,120319,0,120319,PDCM_DR_v6.1,CMP,125,
438,21105072,39427529,1554,3382462,63917055,1995,138,30,2828,0,0,3741,PDCM_DR_v6.1,CRL,665,3741
239,7153514,6308640,248,24779,13487420,1995,359,30,3049,2149,66,2215,PDCM_DR_v6.1,CSHL,665,0
0,13206,446736,160,1287,461389,1995,391,30,3081,1688,0,1688,PDCM_DR_v6.1,CUIMC,665,0
71,424764,0,0,32,424867,1995,406,30,3130,0,0,213,PDCM_DR_v6.1,Curie-BC,699,213
12,89123,0,0,495,89630,1995,406,30,3136,0,0,23,PDCM_DR_v6.1,Curie-LC,705,23
0,0,0,0,0,0,1995,406,30,3141,0,0,0,PDCM_DR_v6.1,Curie-OC,710,0
0,0,0,213,0,213,1995,406,30,3876,0,0,71,PDCM_DR_v6.1,DFCI-CPDM,1445,71
0,1639803,1644597,0,7007,3291407,1995,406,30,3930,0,466,466,PDCM_DR_v6.1,GCCRI,1499,0
105,0,0,0,0,105,1995,406,30,3997,0,33,35,PDCM_DR_v6.1,HCI-BCM,1566,2
0,0,0,0,0,0,1995,440,30,4031,0,0,0,PDCM_DR_v6.1,HKU,1566,0
0,11658,5044592,0,25887,5082137,1995,440,30,4670,0,39,1752,PDCM_DR_v6.1,IRCC-CRC,2205,1713
0,11809,0,0,17418,29227,1995,440,30,4746,0,0,226,PDCM_DR_v6.1,IRCC-GC,2281,226
0,147915,206523,1480,135105,491023,1995,440,30,5173,0,0,18736,PDCM_DR_v6.1,JAX,2708,18736
6,137715,1494257,0,117,1632095,1995,440,30,5218,0,0,148,PDCM_DR_v6.1,LIH,2753,148
0,1350426,1348129,0,10329,2708884,1995,440,30,5265,0,292,292,PDCM_DR_v6.1,LurieChildrens,2800,0
0,0,0,0,0,0,1995,440,30,5581,0,0,0,PDCM_DR_v6.1,MDAnderson,3116,0
0,1061049,1064151,0,5171,2130371,1995,440,30,5616,0,289,289,PDCM_DR_v6.1,MDAnderson-CCH,3151,0
21,255864,1229016,0,393427,1878328,1995,440,30,5623,0,63,121,PDCM_DR_v6.1,NKI,3158,58
0,0,121936842,4080,18743,121959665,2218,667,30,6754,21141,9357,42703,PDCM_DR_v6.1,PDMR,3839,12205
0,3148113,0,0,311346,3459459,2218,667,30,7177,0,179,1018,PDCM_DR_v6.1,PMLB,4262,839
0,0,0,0,0,0,2218,919,30,7429,0,0,0,PDCM_DR_v6.1,PMLB-Organoid,4262,0
123,5213578,3882240,105,20120,9116166,2218,1035,30,7545,998,18,1016,PDCM_DR_v6.1,SANG,4262,0
0,28,0,678,527307,528013,2218,1035,30,7831,0,67,2007,PDCM_DR_v6.1,SJCRH,4548,1940
94,0,0,0,10,104,2218,1035,30,7862,0,18,31,PDCM_DR_v6.1,TRACE,4579,13
0,0,0,0,0,0,2218,1035,30,7889,0,0,0,PDCM_DR_v6.1,UCD,4606,0
0,0,0,0,0,0,2218,1035,30,7897,0,0,0,PDCM_DR_v6.1,UMCG,4614,0
240,1020326,595188,0,7994,1623748,2218,1035,30,7956,0,151,326,PDCM_DR_v6.1,UOC-BC,4673,175
102,0,402940,0,204,403246,2218,1035,30,7968,0,12,53,PDCM_DR_v6.1,UOM-BC,4685,41
23,0,0,0,0,23,2218,1035,30,7975,0,2,9,PDCM_DR_v6.1,VHIO-BC,4692,7
0,0,0,0,299,299,2218,1035,30,8049,0,0,4,PDCM_DR_v6.1,VHIO-CRC,4766,4
0,0,0,0,0,0,2218,1035,30,8092,0,0,0,PDCM_DR_v6.1,VHIO-PC,4809,0
25,545607,727920,15,5383,1278950,2218,1050,30,8107,147,6,153,PDCM_DR_v6.1,WCMC,4809,0
0,0,0,0,0,0,2218,1050,30,8226,0,0,0,PDCM_DR_v6.1,WUSTL,4928,0
0,0,0,0,0,0,2218,1050,30,8483,0,0,0,PDCM_DR_v6.1,Wistar-MDAnderson-Penn,5185,0
