0,1,2
PDCM_DR_v6.3,BROD,United States of America
PDCM_DR_v6.3,CCIA,Australia
PDCM_DR_v6.3,CDH,Singapore
PDCM_DR_v6.3,CHOP,United States of America
PDCM_DR_v6.3,CMP,United Kingdom
PDCM_DR_v6.3,CRL,United States of America
PDCM_DR_v6.3,CSHL,United States of America
PDCM_DR_v6.3,CUIMC,United States of America
PDCM_DR_v6.3,Curie-BC,France
PDCM_DR_v6.3,Curie-LC,France
PDCM_DR_v6.3,Curie-OC,France
PDCM_DR_v6.3,DFCI-CPDM,United States of America
PDCM_DR_v6.3,GCCRI,United States of America
PDCM_DR_v6.3,HCI-BCM,United States of America
PDCM_DR_v6.3,HKU,Hong Kong
PDCM_DR_v6.3,IDI-IRCCS,Italy
PDCM_DR_v6.3,IRCC-CRC,Italy
PDCM_DR_v6.3,IRCC-GC,Italy
PDCM_DR_v6.3,IRCCS-IOR,Italy
PDCM_DR_v6.3,JAX,United States of America
PDCM_DR_v6.3,LIH,Luxembourg
PDCM_DR_v6.3,LurieChildrens,United States of America
PDCM_DR_v6.3,MDAnderson,United States of America
PDCM_DR_v6.3,MDAnderson-CCH,United States of America
PDCM_DR_v6.3,NKI,Netherlands
PDCM_DR_v6.3,PDMR,United States of America
PDCM_DR_v6.3,PMLB,Canada
PDCM_DR_v6.3,PMLB-Organoid,Canada
PDCM_DR_v6.3,SANG,United Kingdom
PDCM_DR_v6.3,SJCRH,United States of America
PDCM_DR_v6.3,TRACE,Belgium
PDCM_DR_v6.3,UCD,United States of America
PDCM_DR_v6.3,UMCG,Netherlands
PDCM_DR_v6.3,UOC-BC,United Kingdom
PDCM_DR_v6.3,UOM-BC,United Kingdom
PDCM_DR_v6.3,VHIO-BC,Spain
PDCM_DR_v6.3,VHIO-CRC,Spain
PDCM_DR_v6.3,VHIO-PC,Spain
PDCM_DR_v6.3,WCMC,United States of America
PDCM_DR_v6.3,WUSTL,United States of America
PDCM_DR_v6.3,Wistar-MDAnderson-Penn,United States of America
