0,1,2
PDCM_DR_v6.0,BROD,United States of America
PDCM_DR_v6.0,CCIA,Australia
PDCM_DR_v6.0,CHOP,United States of America
PDCM_DR_v6.0,CMP,United Kingdom
PDCM_DR_v6.0,CRL,United States of America
PDCM_DR_v6.0,CSHL,United States of America
PDCM_DR_v6.0,CUIMC,United States of America
PDCM_DR_v6.0,Curie-BC,France
PDCM_DR_v6.0,Curie-LC,France
PDCM_DR_v6.0,Curie-OC,France
PDCM_DR_v6.0,DFCI-CPDM,United States of America
PDCM_DR_v6.0,GCCRI,United States of America
PDCM_DR_v6.0,HCI-BCM,United States of America
PDCM_DR_v6.0,HKU,Hong Kong
PDCM_DR_v6.0,IRCC-CRC,Italy
PDCM_DR_v6.0,IRCC-GC,Italy
PDCM_DR_v6.0,JAX,United States of America
PDCM_DR_v6.0,LIH,Luxembourg
PDCM_DR_v6.0,LurieChildrens,United States of America
PDCM_DR_v6.0,MDAnderson,United States of America
PDCM_DR_v6.0,MDAnderson-CCH,United States of America
PDCM_DR_v6.0,NKI,Netherlands
PDCM_DR_v6.0,PDMR,United States of America
PDCM_DR_v6.0,PMLB,Canada
PDCM_DR_v6.0,PMLB-Organoid,Canada
PDCM_DR_v6.0,SANG,United Kingdom
PDCM_DR_v6.0,SJCRH,United States of America
PDCM_DR_v6.0,TRACE,Belgium
PDCM_DR_v6.0,UCD,United States of America
PDCM_DR_v6.0,UMCG,Netherlands
PDCM_DR_v6.0,UOC-BC,United Kingdom
PDCM_DR_v6.0,UOM-BC,United Kingdom
PDCM_DR_v6.0,VHIO-BC,Spain
PDCM_DR_v6.0,VHIO-CRC,Spain
PDCM_DR_v6.0,VHIO-PC,Spain
PDCM_DR_v6.0,WCMC,United States of America
PDCM_DR_v6.0,WUSTL,United States of America
PDCM_DR_v6.0,Wistar-MDAnderson-Penn,United States of America
