0,1,2
PDCM_DR_v6.7,BROD,United States of America
PDCM_DR_v6.7,CCIA,Australia
PDCM_DR_v6.7,CDH,Singapore
PDCM_DR_v6.7,CHOP,United States of America
PDCM_DR_v6.7,CMP,United Kingdom
PDCM_DR_v6.7,CRL,United States of America
PDCM_DR_v6.7,CSHL,United States of America
PDCM_DR_v6.7,CUIMC,United States of America
PDCM_DR_v6.7,Curie-BC,France
PDCM_DR_v6.7,Curie-LC,France
PDCM_DR_v6.7,Curie-OC,France
PDCM_DR_v6.7,DFCI-CPDM,United States of America
PDCM_DR_v6.7,GCCRI,United States of America
PDCM_DR_v6.7,HCI-BCM,United States of America
PDCM_DR_v6.7,HKU,Hong Kong
PDCM_DR_v6.7,IRCCS-CRC,Italy
PDCM_DR_v6.7,IRCCS-CRO,Italy
PDCM_DR_v6.7,IRCCS-CSS,Italy
PDCM_DR_v6.7,IRCCS-DEB,Italy
PDCM_DR_v6.7,IRCCS-GC,Italy
PDCM_DR_v6.7,IRCCS-HSM-GE,Italy
PDCM_DR_v6.7,IRCCS-ICH,Italy
PDCM_DR_v6.7,IRCCS-IDI,Italy
PDCM_DR_v6.7,IRCCS-IOR,Italy
PDCM_DR_v6.7,IRCCS-IRE,Italy
PDCM_DR_v6.7,IRCCS-IRFMN,Italy
PDCM_DR_v6.7,IRCCS-IRST,Italy
PDCM_DR_v6.7,IRCCS-ITGPII,Italy
PDCM_DR_v6.7,IRCCS-OPBG,Italy
PDCM_DR_v6.7,IRCCS-PAS,Italy
PDCM_DR_v6.7,JAX,United States of America
PDCM_DR_v6.7,LIH,Luxembourg
PDCM_DR_v6.7,LurieChildrens,United States of America
PDCM_DR_v6.7,MBDI,Australia
PDCM_DR_v6.7,MDAnderson,United States of America
PDCM_DR_v6.7,MDAnderson-CCH,United States of America
PDCM_DR_v6.7,NKI,Netherlands
PDCM_DR_v6.7,PDMR,United States of America
PDCM_DR_v6.7,PMLB,Canada
PDCM_DR_v6.7,PMLB-Organoid,Canada
PDCM_DR_v6.7,SANG,United Kingdom
PDCM_DR_v6.7,SJCRH,United States of America
PDCM_DR_v6.7,TRACE,Belgium
PDCM_DR_v6.7,TTUHSC,United States of America
PDCM_DR_v6.7,UCD,United States of America
PDCM_DR_v6.7,UMCG,Netherlands
PDCM_DR_v6.7,UMCU,Netherlands
PDCM_DR_v6.7,UOC-BC,United Kingdom
PDCM_DR_v6.7,UOM-BC,United Kingdom
PDCM_DR_v6.7,VHIO-BC,Spain
PDCM_DR_v6.7,VHIO-CRC,Spain
PDCM_DR_v6.7,VHIO-PC,Spain
PDCM_DR_v6.7,VHIO-PMP,Spain
PDCM_DR_v6.7,WCMC,United States of America
PDCM_DR_v6.7,WUSTL,United States of America
PDCM_DR_v6.7,Wistar-MDAnderson-Penn,United States of America
