0,1,2
PDCM_DR_v2.1,BROD,United States of America
PDCM_DR_v2.1,CCIA,Australia
PDCM_DR_v2.1,CHOP,United States of America
PDCM_DR_v2.1,CMP,United Kingdom
PDCM_DR_v2.1,CRL,United States of America
PDCM_DR_v2.1,CSHL,United States of America
PDCM_DR_v2.1,CUIMC,United States of America
PDCM_DR_v2.1,Curie-BC,France
PDCM_DR_v2.1,Curie-LC,France
PDCM_DR_v2.1,Curie-OC,France
PDCM_DR_v2.1,DFCI-CPDM,United States of America
PDCM_DR_v2.1,GCCRI,United States of America
PDCM_DR_v2.1,HCI-BCM,United States of America
PDCM_DR_v2.1,HCMI,United States of America
PDCM_DR_v2.1,HKU,Hong Kong
PDCM_DR_v2.1,IRCC-CRC,Italy
PDCM_DR_v2.1,IRCC-GC,Italy
PDCM_DR_v2.1,JAX,United States of America
PDCM_DR_v2.1,LIH,Luxembourg
PDCM_DR_v2.1,LurieChildrens,United States of America
PDCM_DR_v2.1,MDAnderson,United States of America
PDCM_DR_v2.1,MDAnderson-CCH,United States of America
PDCM_DR_v2.1,NKI,Netherlands
PDCM_DR_v2.1,PDMR,United States of America
PDCM_DR_v2.1,PIVOT,United States of America
PDCM_DR_v2.1,PMLB,Canada
PDCM_DR_v2.1,PMLB-Organoid,Canada
PDCM_DR_v2.1,SANG,United Kingdom
PDCM_DR_v2.1,SJCRH,United States of America
PDCM_DR_v2.1,TRACE,Belgium
PDCM_DR_v2.1,UCD,United States of America
PDCM_DR_v2.1,UMCG,Netherlands
PDCM_DR_v2.1,UOC-BC,United Kingdom
PDCM_DR_v2.1,UOM-BC,United Kingdom
PDCM_DR_v2.1,VHIO-BC,Spain
PDCM_DR_v2.1,VHIO-CRC,Spain
PDCM_DR_v2.1,VHIO-PC,Spain
PDCM_DR_v2.1,WCMC,United States of America
PDCM_DR_v2.1,WUSTL,United States of America
PDCM_DR_v2.1,Wistar-MDAnderson-Penn,United States of America
