0,1,2
PDCM_DR_v6.5,BROD,United States of America
PDCM_DR_v6.5,CCIA,Australia
PDCM_DR_v6.5,CDH,Singapore
PDCM_DR_v6.5,CHOP,United States of America
PDCM_DR_v6.5,CMP,United Kingdom
PDCM_DR_v6.5,CRL,United States of America
PDCM_DR_v6.5,CSHL,United States of America
PDCM_DR_v6.5,CUIMC,United States of America
PDCM_DR_v6.5,Curie-BC,France
PDCM_DR_v6.5,Curie-LC,France
PDCM_DR_v6.5,Curie-OC,France
PDCM_DR_v6.5,DFCI-CPDM,United States of America
PDCM_DR_v6.5,GCCRI,United States of America
PDCM_DR_v6.5,HCI-BCM,United States of America
PDCM_DR_v6.5,HKU,Hong Kong
PDCM_DR_v6.5,IRCCS-CRC,Italy
PDCM_DR_v6.5,IRCCS-CRO,Italy
PDCM_DR_v6.5,IRCCS-CSS,Italy
PDCM_DR_v6.5,IRCCS-DEB,Italy
PDCM_DR_v6.5,IRCCS-GC,Italy
PDCM_DR_v6.5,IRCCS-HSM-GE,Italy
PDCM_DR_v6.5,IRCCS-ICH,Italy
PDCM_DR_v6.5,IRCCS-IDI,Italy
PDCM_DR_v6.5,IRCCS-IOR,Italy
PDCM_DR_v6.5,IRCCS-IRE,Italy
PDCM_DR_v6.5,IRCCS-IRFMN,Italy
PDCM_DR_v6.5,IRCCS-IRST,Italy
PDCM_DR_v6.5,IRCCS-ITGPII,Italy
PDCM_DR_v6.5,IRCCS-OPBG,Italy
PDCM_DR_v6.5,IRCCS-PAS,Italy
PDCM_DR_v6.5,JAX,United States of America
PDCM_DR_v6.5,LIH,Luxembourg
PDCM_DR_v6.5,LurieChildrens,United States of America
PDCM_DR_v6.5,MDAnderson,United States of America
PDCM_DR_v6.5,MDAnderson-CCH,United States of America
PDCM_DR_v6.5,NKI,Netherlands
PDCM_DR_v6.5,PDMR,United States of America
PDCM_DR_v6.5,PMLB,Canada
PDCM_DR_v6.5,PMLB-Organoid,Canada
PDCM_DR_v6.5,SANG,United Kingdom
PDCM_DR_v6.5,SJCRH,United States of America
PDCM_DR_v6.5,TRACE,Belgium
PDCM_DR_v6.5,UCD,United States of America
PDCM_DR_v6.5,UMCG,Netherlands
PDCM_DR_v6.5,UMCU,Netherlands
PDCM_DR_v6.5,UOC-BC,United Kingdom
PDCM_DR_v6.5,UOM-BC,United Kingdom
PDCM_DR_v6.5,VHIO-BC,Spain
PDCM_DR_v6.5,VHIO-CRC,Spain
PDCM_DR_v6.5,VHIO-PC,Spain
PDCM_DR_v6.5,WCMC,United States of America
PDCM_DR_v6.5,WUSTL,United States of America
PDCM_DR_v6.5,Wistar-MDAnderson-Penn,United States of America
