0,1,2
PDCM_DR_v6.2,BROD,United States of America
PDCM_DR_v6.2,CCIA,Australia
PDCM_DR_v6.2,CHOP,United States of America
PDCM_DR_v6.2,CMP,United Kingdom
PDCM_DR_v6.2,CRL,United States of America
PDCM_DR_v6.2,CSHL,United States of America
PDCM_DR_v6.2,CUIMC,United States of America
PDCM_DR_v6.2,Curie-BC,France
PDCM_DR_v6.2,Curie-LC,France
PDCM_DR_v6.2,Curie-OC,France
PDCM_DR_v6.2,DFCI-CPDM,United States of America
PDCM_DR_v6.2,GCCRI,United States of America
PDCM_DR_v6.2,HCI-BCM,United States of America
PDCM_DR_v6.2,HKU,Hong Kong
PDCM_DR_v6.2,IRCC-CRC,Italy
PDCM_DR_v6.2,IRCC-GC,Italy
PDCM_DR_v6.2,JAX,United States of America
PDCM_DR_v6.2,LIH,Luxembourg
PDCM_DR_v6.2,LurieChildrens,United States of America
PDCM_DR_v6.2,MDAnderson,United States of America
PDCM_DR_v6.2,MDAnderson-CCH,United States of America
PDCM_DR_v6.2,NKI,Netherlands
PDCM_DR_v6.2,PDMR,United States of America
PDCM_DR_v6.2,PMLB,Canada
PDCM_DR_v6.2,PMLB-Organoid,Canada
PDCM_DR_v6.2,SANG,United Kingdom
PDCM_DR_v6.2,SJCRH,United States of America
PDCM_DR_v6.2,TRACE,Belgium
PDCM_DR_v6.2,UCD,United States of America
PDCM_DR_v6.2,UMCG,Netherlands
PDCM_DR_v6.2,UOC-BC,United Kingdom
PDCM_DR_v6.2,UOM-BC,United Kingdom
PDCM_DR_v6.2,VHIO-BC,Spain
PDCM_DR_v6.2,VHIO-CRC,Spain
PDCM_DR_v6.2,VHIO-PC,Spain
PDCM_DR_v6.2,WCMC,United States of America
PDCM_DR_v6.2,WUSTL,United States of America
PDCM_DR_v6.2,Wistar-MDAnderson-Penn,United States of America
