image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,treatment_data_points,model_type_pdx,sample_type_xenograft,drug_data_points
268,94,8972204,9644940,110,57387,18675003,107,94,30,231,1544,82,1626,PDCM_DR_v6.3,BROD,,,,
0,0,2861617,2869983,0,15432,5747668,107,94,30,321,0,802,802,PDCM_DR_v6.3,CCIA,636,90,,
0,0,0,0,0,0,0,110,94,30,326,0,0,0,PDCM_DR_v6.3,CDH,0,92,,
0,0,1125355,1128645,0,4841,2259477,110,94,30,361,0,315,315,PDCM_DR_v6.3,CHOP,636,127,,
1315,0,46287642,55552696,12000,8438332,110291985,1998,138,30,2293,120319,0,120319,PDCM_DR_v6.3,CMP,0,127,,
1550,438,21105072,39427529,1554,3382462,63918683,1998,138,30,2833,0,0,3741,PDCM_DR_v6.3,CRL,78,667,3741,
197,239,7153514,6308640,248,24779,13487617,1998,359,30,3054,2149,66,2215,PDCM_DR_v6.3,CSHL,0,667,0,
0,0,13206,446736,160,1287,461389,1998,391,30,3086,1688,0,1688,PDCM_DR_v6.3,CUIMC,0,667,0,
0,71,424764,0,0,32,425189,1998,406,30,3135,0,0,213,PDCM_DR_v6.3,Curie-BC,155,701,213,167
0,12,89123,0,0,495,89643,1998,406,30,3141,0,0,23,PDCM_DR_v6.3,Curie-LC,0,707,23,13
0,0,0,0,0,0,0,1998,406,30,3146,0,0,0,PDCM_DR_v6.3,Curie-OC,0,712,0,0
0,0,0,0,213,0,3727,1998,406,30,3881,0,0,71,PDCM_DR_v6.3,DFCI-CPDM,0,1447,71,3514
0,0,1639803,1644597,0,7007,3293307,1998,406,30,3935,0,466,466,PDCM_DR_v6.3,GCCRI,1900,1501,0,0
163,336,0,0,0,4335,5459,1998,406,30,4045,0,70,191,PDCM_DR_v6.3,HCI-BCM,615,1611,121,10
0,0,0,0,0,0,0,1998,440,30,4079,0,0,0,PDCM_DR_v6.3,HKU,0,1611,0,0
0,0,0,0,0,0,0,2018,440,30,4099,0,0,0,PDCM_DR_v6.3,IDI-IRCCS,0,1611,0,0
0,0,11658,5044592,0,25887,5082687,2018,440,30,4738,0,39,1752,PDCM_DR_v6.3,IRCC-CRC,0,2250,1713,550
0,0,11809,0,0,17418,29247,2018,440,30,4814,0,0,226,PDCM_DR_v6.3,IRCC-GC,20,2326,226,0
0,0,0,0,0,0,0,2018,440,30,4825,0,0,0,PDCM_DR_v6.3,IRCCS-IOR,0,2337,0,0
2680,0,147915,206523,1480,135105,494106,2018,440,30,5252,0,0,18736,PDCM_DR_v6.3,JAX,0,2764,18736,403
0,6,137715,1494257,0,93,1632111,2018,440,30,5297,0,0,140,PDCM_DR_v6.3,LIH,40,2809,140,0
0,0,1350426,1348129,0,10329,2708884,2018,440,30,5344,0,292,292,PDCM_DR_v6.3,LurieChildrens,0,2856,0,0
0,0,0,0,0,0,0,2018,440,30,5660,0,0,0,PDCM_DR_v6.3,MDAnderson,0,3172,0,0
0,0,1061049,1064151,0,5171,2130928,2018,440,30,5695,0,289,289,PDCM_DR_v6.3,MDAnderson-CCH,557,3207,0,0
0,21,1997505,2988475,0,10186355,15172356,2018,440,30,5721,0,146,254,PDCM_DR_v6.3,NKI,0,3233,108,0
0,0,0,121936842,4080,18743,121960955,2241,667,30,6852,21141,9357,42703,PDCM_DR_v6.3,PDMR,1290,3914,12205,0
0,0,3148113,0,0,311346,3459459,2241,667,30,7275,0,179,1018,PDCM_DR_v6.3,PMLB,0,4337,839,0
0,0,0,0,0,0,0,2241,919,30,7527,0,0,0,PDCM_DR_v6.3,PMLB-Organoid,0,4337,0,0
103,123,5213578,3882240,105,20120,9116269,2241,1035,30,7643,998,18,1016,PDCM_DR_v6.3,SANG,0,4337,0,0
796,0,28,0,678,527307,528809,2241,1035,30,7929,0,67,2007,PDCM_DR_v6.3,SJCRH,0,4623,1940,0
0,94,0,0,0,10,192,2241,1035,30,7960,0,18,31,PDCM_DR_v6.3,TRACE,80,4654,13,8
0,0,0,0,0,0,0,2241,1035,30,7987,0,0,0,PDCM_DR_v6.3,UCD,0,4681,0,0
0,0,0,0,0,0,0,2241,1035,30,7995,0,0,0,PDCM_DR_v6.3,UMCG,0,4689,0,0
0,240,1020326,595188,0,7994,1623858,2241,1035,30,8054,0,151,326,PDCM_DR_v6.3,UOC-BC,110,4748,175,0
0,102,0,402940,0,204,403286,2241,1035,30,8066,0,12,53,PDCM_DR_v6.3,UOM-BC,40,4760,41,0
0,23,0,0,0,0,23,2241,1035,30,8073,0,2,9,PDCM_DR_v6.3,VHIO-BC,0,4767,7,0
0,0,0,0,0,299,299,2241,1035,30,8147,0,0,4,PDCM_DR_v6.3,VHIO-CRC,0,4841,4,0
0,0,0,0,0,0,0,2241,1035,30,8190,0,0,0,PDCM_DR_v6.3,VHIO-PC,0,4884,0,0
22,25,545607,727920,15,5383,1278972,2241,1050,30,8205,147,6,153,PDCM_DR_v6.3,WCMC,0,4884,0,0
0,0,0,0,0,0,0,2241,1050,30,8324,0,0,0,PDCM_DR_v6.3,WUSTL,0,5003,0,0
0,0,0,0,0,0,0,2241,1050,30,8581,0,0,0,PDCM_DR_v6.3,Wistar-MDAnderson-Penn,0,5260,0,0
