image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,treatment_data_points,model_type_pdx,sample_type_xenograft,drug_data_points
268,94,8972204,9644940,110,57387,18675003,107,94,30,231,1544,82,1626,PDCM_DR_v6.4,BROD,,,,
0,0,2861617,2869983,0,15432,5747668,107,94,30,321,0,802,802,PDCM_DR_v6.4,CCIA,636,90,,
0,0,0,0,0,0,0,110,94,30,326,0,0,0,PDCM_DR_v6.4,CDH,0,92,,
0,0,1125355,1128645,0,4841,2259477,110,94,30,361,0,315,315,PDCM_DR_v6.4,CHOP,636,127,,
1315,0,46287642,55552696,12000,8438332,110291985,1998,138,30,2293,120319,0,120319,PDCM_DR_v6.4,CMP,0,127,,
1550,438,21105072,39427529,1554,3382462,63918683,1998,138,30,2833,0,0,3741,PDCM_DR_v6.4,CRL,78,667,3741,
197,239,7153514,6308640,248,24779,13487617,1998,359,30,3054,2149,66,2215,PDCM_DR_v6.4,CSHL,0,667,0,
0,0,13206,446736,160,1287,461389,1998,391,30,3086,1688,0,1688,PDCM_DR_v6.4,CUIMC,0,667,0,
0,71,424764,0,0,32,425189,1998,406,30,3135,0,0,213,PDCM_DR_v6.4,Curie-BC,155,701,213,167
0,12,89123,0,0,495,89643,1998,406,30,3141,0,0,23,PDCM_DR_v6.4,Curie-LC,0,707,23,13
0,0,0,0,0,0,0,1998,406,30,3146,0,0,0,PDCM_DR_v6.4,Curie-OC,0,712,0,0
0,0,0,7547445,213,0,7551172,1998,406,30,3881,0,0,404,PDCM_DR_v6.4,DFCI-CPDM,0,1447,404,3514
0,0,1639803,1644597,0,7007,3293307,1998,406,30,3935,0,466,466,PDCM_DR_v6.4,GCCRI,1900,1501,0,0
163,336,0,0,0,4335,5459,1998,406,30,4045,0,70,191,PDCM_DR_v6.4,HCI-BCM,615,1611,121,10
0,0,0,0,0,0,0,1998,440,30,4079,0,0,0,PDCM_DR_v6.4,HKU,0,1611,0,0
0,0,0,0,0,0,0,2018,440,30,4099,0,0,0,PDCM_DR_v6.4,IDI-IRCCS,0,1611,0,0
0,0,11658,5044592,0,25887,5082687,2018,440,30,4738,0,39,1752,PDCM_DR_v6.4,IRCC-CRC,0,2250,1713,550
0,0,11809,0,0,17418,29247,2018,440,30,4814,0,0,226,PDCM_DR_v6.4,IRCC-GC,20,2326,226,0
0,0,0,0,0,0,0,2020,447,30,4823,0,0,0,PDCM_DR_v6.4,IRCCS-DEB,0,2326,0,0
0,0,0,0,0,0,0,2027,450,30,4840,0,0,0,PDCM_DR_v6.4,IRCCS-HSM-GE,0,2333,0,0
0,0,0,0,0,0,0,2044,450,30,4857,0,0,0,PDCM_DR_v6.4,IRCCS-ICH,0,2333,0,0
0,0,0,0,0,0,0,2044,450,30,4868,0,0,0,PDCM_DR_v6.4,IRCCS-IOR,0,2344,0,0
0,0,0,0,0,0,0,2044,469,31,4890,0,0,0,PDCM_DR_v6.4,IRCCS-IRE,0,2346,0,0
0,0,0,0,0,0,0,2044,469,38,4915,0,0,0,PDCM_DR_v6.4,IRCCS-IRFMN,0,2364,0,0
0,0,0,0,0,0,0,2053,469,38,4924,0,0,0,PDCM_DR_v6.4,IRCCS-IRST,0,2364,0,0
